model,triplet_id,domain,concept,layer,dist_asym,dist_lit,dist_sym,dist_scram
TinyLlama-1.1B,6,Relational,On (恩),4,0.019925535,0.0005156398,0.0034732819,0.017389834
TinyLlama-1.1B,6,Relational,On (恩),5,0.033386588,0.0008793473,0.0060946345,0.028910935
TinyLlama-1.1B,6,Relational,On (恩),6,0.050685763,0.00152421,0.009307563,0.048818886
TinyLlama-1.1B,6,Relational,On (恩),7,0.07507366,0.0024402142,0.012544692,0.0858739
TinyLlama-1.1B,6,Relational,On (恩),8,0.09494442,0.004154682,0.016834617,0.11296332
TinyLlama-1.1B,6,Relational,On (恩),9,0.11151171,0.0046857,0.018445551,0.13644385
TinyLlama-1.1B,6,Relational,On (恩),10,0.14031607,0.0067542195,0.02380675,0.18461251
TinyLlama-1.1B,6,Relational,On (恩),11,0.15807104,0.009627342,0.028160632,0.20750809
TinyLlama-1.1B,6,Relational,On (恩),12,0.18003297,0.01083827,0.03560412,0.2512619
TinyLlama-1.1B,6,Relational,On (恩),13,0.1942414,0.013198137,0.04359144,0.29333812
TinyLlama-1.1B,6,Relational,On (恩),14,0.21550232,0.014947712,0.05059129,0.32724494
TinyLlama-1.1B,6,Relational,On (恩),15,0.23347396,0.016795695,0.05956912,0.3375821
TinyLlama-1.1B,6,Relational,On (恩),16,0.2900374,0.020894766,0.09550208,0.39771515
TinyLlama-1.1B,6,Relational,On (恩),17,0.31653774,0.028595328,0.11380947,0.42308974
TinyLlama-1.1B,6,Relational,On (恩),18,0.33828956,0.031789243,0.1895755,0.4392141
TinyLlama-1.1B,6,Relational,On (恩),19,0.47609597,0.03626913,0.27130342,0.5081445
TinyLlama-1.1B,6,Relational,On (恩),20,0.45303106,0.03840971,0.37517554,0.47376716
TinyLlama-1.1B,6,Relational,On (恩),21,0.6401402,0.04129672,0.5215167,0.6728655
TinyLlama-1.1B,6,Relational,On (恩),22,0.86602414,0.05342847,0.68283665,0.8833167
TinyLlama-1.1B,7,Social Space,Wa (和),0,0.8996542,0.19770086,0.750507,0.8996542
TinyLlama-1.1B,7,Social Space,Wa (和),1,0.21384162,0.02067542,0.13193417,0.21679825
TinyLlama-1.1B,7,Social Space,Wa (和),2,0.20752794,0.017624319,0.12603283,0.20814002
TinyLlama-1.1B,7,Social Space,Wa (和),3,0.011737585,0.00033909082,0.0025039315,0.01267916
TinyLlama-1.1B,7,Social Space,Wa (和),4,0.022446454,0.00057667494,0.0043136477,0.024792314
TinyLlama-1.1B,7,Social Space,Wa (和),5,0.036455393,0.0010523796,0.0069516897,0.038125157
